order_id,order_date,customer_id,customer_name,city,state,category,product_name,quantity,unit_price,total_sales
72,2025-07-02,1091,Olivia,Pune,Tamil Nadu,Electronics,Monitor,8,46825,374600
73,2025-09-28,1049,Alice,Mumbai,Karnataka,Electronics,Monitor,7,30877,216139
74,2025-05-20,1060,Robert,Chennai,Karnataka,Furniture,Table,7,44530,311710
75,2024-12-01,1063,Michael,Bangalore,Tamil Nadu,Accessories,Headphones,6,19162,114972
76,2025-08-16,1048,Olivia,Chennai,Maharashtra,Furniture,Desk,1,28070,28070
77,2024-10-26,1055,James,Mumbai,Karnataka,Electronics,Monitor,3,32666,97998
78,2025-10-07,1055,David,Bangalore,Delhi,Accessories,Webcam,4,6802,27208
79,2025-11-29,1044,Michael,Bangalore,Telangana,Electronics,Monitor,8,26672,213376
80,2025-02-25,1096,John,Chennai,Karnataka,Furniture,Chair,10,31770,317700
81,2024-09-09,1083,Michael,Mumbai,Karnataka,Furniture,Chair,2,27315,54630
82,2024-02-19,1007,Emma,Bangalore,Telangana,Furniture,Desk,10,12168,121680
83,2025-10-19,1032,James,Mumbai,Telangana,Accessories,USB Cable,5,8185,40925
84,2025-10-14,1090,Alice,Mumbai,Telangana,Furniture,Desk,2,40411,80822
85,2025-05-03,1016,Emma,Pune,Tamil Nadu,Furniture,Table,1,35131,35131
86,2025-11-21,1013,Olivia,Bangalore,Maharashtra,Furniture,Desk,6,12307,73842
87,2025-08-31,1035,Olivia,Bangalore,Maharashtra,Electronics,Mouse,5,26245,131225
88,2024-02-25,1016,John,Bangalore,Karnataka,Electronics,Keyboard,8,16359,130872
89,2024-02-16,1092,Robert,Pune,Karnataka,Furniture,Table,9,24795,223155
90,2024-03-18,1022,Michael,Bangalore,Karnataka,Furniture,Table,7,4708,32956
91,2024-03-09,1070,Sophia,Pune,Tamil Nadu,Electronics,Monitor,1,14087,14087
92,2024-04-20,1037,Emma,Pune,Karnataka,Furniture,Desk,4,34897,139588
93,2024-07-11,1033,Robert,Mumbai,Maharashtra,Accessories,USB Cable,7,4137,28959
94,2024-11-23,1027,John,Hyderabad,Maharashtra,Electronics,Keyboard,7,5761,40327
95,2024-04-09,1094,Robert,Pune,Delhi,Electronics,Mouse,7,14098,98686
96,2024-02-03,1003,Robert,Hyderabad,Karnataka,Accessories,Headphones,8,37868,302944
97,2025-03-16,1055,David,Delhi,Karnataka,Electronics,Monitor,2,4348,8696
98,2024-06-13,1045,John,Hyderabad,Tamil Nadu,Accessories,Headphones,1,17070,17070
99,2024-07-29,1051,Olivia,Delhi,Maharashtra,Accessories,Webcam,8,10333,82664
100,2024-06-27,1094,David,Hyderabad,Delhi,Furniture,Desk,1,23215,23215
101,2024-03-05,1024,James,Bangalore,Telangana,Electronics,Monitor,3,24910,74730
102,2025-07-11,1058,Robert,Hyderabad,Maharashtra,Electronics,Keyboard,8,32281,258248
103,2024-11-22,1037,John,Delhi,Telangana,Furniture,Desk,5,5040,25200
104,2025-05-12,1063,Robert,Pune,Maharashtra,Accessories,Headphones,1,40798,40798
105,2024-10-24,1089,Robert,Chennai,Delhi,Accessories,USB Cable,7,32246,225722
106,2024-04-09,1079,Michael,Bangalore,Delhi,Furniture,Desk,8,33924,271392
107,2024-11-12,1060,Michael,Mumbai,Delhi,Furniture,Chair,1,35552,35552
108,2025-05-04,1082,Emma,Pune,Tamil Nadu,Accessories,Headphones,2,34955,69910
109,2024-01-18,1083,Emma,Pune,Delhi,Furniture,Desk,7,6195,43365
110,2025-02-13,1076,Sophia,Pune,Tamil Nadu,Furniture,Table,3,37913,113739
111,2024-04-04,1090,Michael,Bangalore,Tamil Nadu,Electronics,Mouse,1,4680,4680
112,2024-05-22,1088,Olivia,Mumbai,Maharashtra,Accessories,USB Cable,5,7287,36435
113,2024-07-26,1096,Olivia,Delhi,Telangana,Electronics,Mouse,5,47695,238475
114,2024-02-18,1009,Olivia,Hyderabad,Telangana,Accessories,USB Cable,5,24166,120830
115,2025-12-21,1034,James,Pune,Karnataka,Furniture,Table,10,7517,75170
116,2024-08-25,1032,James,Bangalore,Karnataka,Electronics,Monitor,6,45183,271098
117,2025-02-25,1068,Michael,Mumbai,Maharashtra,Electronics,Mouse,3,33165,99495
118,2025-02-24,1068,David,Bangalore,Delhi,Furniture,Desk,10,49469,494690
119,2025-08-12,1045,James,Bangalore,Delhi,Accessories,Webcam,7,4753,33271
120,2025-12-13,1098,Sophia,Delhi,Maharashtra,Furniture,Desk,10,8217,82170
121,2025-03-25,1067,David,Hyderabad,Tamil Nadu,Accessories,USB Cable,4,45350,181400
122,2025-10-10,1018,Alice,Hyderabad,Tamil Nadu,Furniture,Desk,8,42736,341888
123,2025-10-18,1030,Alice,Delhi,Maharashtra,Furniture,Chair,2,15879,31758
124,2024-01-16,1086,James,Mumbai,Telangana,Furniture,Desk,6,17322,103932
125,2025-06-21,1053,James,Bangalore,Tamil Nadu,Accessories,Webcam,2,26932,53864
126,2024-12-17,1060,Alice,Bangalore,Karnataka,Furniture,Desk,8,48665,389320
127,2024-01-29,1094,Sophia,Hyderabad,Karnataka,Accessories,Headphones,1,13610,13610
128,2024-11-02,1006,Sophia,Hyderabad,Telangana,Accessories,Webcam,2,38193,76386
129,2025-05-26,1100,Robert,Chennai,Delhi,Furniture,Desk,7,18484,129388
130,2024-04-07,1029,Michael,Delhi,Delhi,Furniture,Table,8,38449,307592
131,2024-02-04,1028,Robert,Pune,Maharashtra,Electronics,Keyboard,9,43985,395865
132,2025-10-31,1059,John,Bangalore,Delhi,Electronics,Keyboard,4,33675,134700
133,2025-10-06,1068,Robert,Bangalore,Delhi,Furniture,Table,8,35938,287504
134,2024-03-23,1094,William,Bangalore,Telangana,Accessories,Headphones,3,48805,146415
135,2025-01-21,1098,John,Delhi,Delhi,Accessories,USB Cable,4,17089,68356
136,2024-07-19,1023,David,Bangalore,Maharashtra,Electronics,Laptop,2,20133,40266
137,2025-05-06,1043,John,Bangalore,Delhi,Furniture,Chair,6,40598,243588
138,2024-07-03,1025,Emma,Chennai,Telangana,Electronics,Laptop,10,48584,485840
139,2024-06-02,1072,Sophia,Bangalore,Karnataka,Electronics,Keyboard,10,47211,472110
140,2024-12-22,1067,Emma,Chennai,Maharashtra,Furniture,Chair,5,23378,116890
141,2024-11-21,1099,William,Hyderabad,Tamil Nadu,Electronics,Laptop,7,22707,158949
142,2024-02-09,1087,David,Delhi,Karnataka,Electronics,Mouse,6,32636,195816
143,2025-03-13,1051,John,Hyderabad,Telangana,Electronics,Laptop,9,30459,274131
144,2024-03-10,1018,Sophia,Bangalore,Karnataka,Accessories,Webcam,6,15702,94212
145,2025-04-28,1076,Olivia,Pune,Tamil Nadu,Accessories,USB Cable,1,24749,24749
146,2024-03-27,1087,Michael,Bangalore,Tamil Nadu,Accessories,USB Cable,3,40263,120789
147,2024-02-15,1070,James,Mumbai,Delhi,Accessories,Headphones,8,29547,236376
148,2024-07-19,1075,Alice,Bangalore,Telangana,Electronics,Mouse,5,44513,222565
149,2025-12-13,1082,Alice,Delhi,Telangana,Accessories,Headphones,3,9785,29355
150,2024-07-27,1001,Alice,Delhi,Delhi,Electronics,Laptop,6,21614,129684
151,2025-02-13,1093,Michael,Pune,Delhi,Furniture,Chair,10,43924,439240
152,2024-04-20,1062,Robert,Delhi,Telangana,Electronics,Laptop,5,24269,121345
153,2025-09-25,1056,Emma,Bangalore,Karnataka,Furniture,Table,6,40291,241746
154,2024-05-30,1096,Olivia,Delhi,Telangana,Electronics,Keyboard,2,34754,69508
155,2024-02-08,1044,Olivia,Pune,Telangana,Electronics,Laptop,6,39392,236352
156,2024-04-11,1074,David,Pune,Maharashtra,Electronics,Laptop,4,24297,97188
157,2025-01-16,1071,James,Mumbai,Delhi,Furniture,Desk,2,1596,3192
158,2024-06-08,1073,William,Chennai,Telangana,Furniture,Desk,6,19566,117396
159,2024-06-26,1098,David,Pune,Karnataka,Electronics,Keyboard,10,46476,464760
160,2025-09-20,1014,Olivia,Bangalore,Maharashtra,Furniture,Desk,10,24054,240540
161,2025-12-04,1079,Emma,Chennai,Telangana,Electronics,Monitor,10,29222,292220
162,2024-10-05,1021,Robert,Bangalore,Delhi,Furniture,Table,10,14285,142850
163,2025-09-29,1080,Michael,Bangalore,Telangana,Accessories,Headphones,2,29432,58864
164,2024-09-07,1052,David,Bangalore,Maharashtra,Furniture,Desk,3,44825,134475
165,2025-12-26,1014,William,Mumbai,Delhi,Accessories,USB Cable,7,43412,303884
166,2024-01-12,1028,Robert,Delhi,Maharashtra,Accessories,Headphones,7,22457,157199
167,2024-12-12,1052,Robert,Hyderabad,Telangana,Furniture,Desk,7,13584,95088
168,2024-03-31,1012,David,Chennai,Telangana,Electronics,Monitor,4,44911,179644
169,2025-05-30,1080,Michael,Hyderabad,Karnataka,Electronics,Laptop,1,10269,10269
170,2025-04-17,1028,Sophia,Chennai,Delhi,Electronics,Laptop,8,45677,365416
171,2025-08-09,1002,James,Bangalore,Delhi,Accessories,Headphones,7,28637,200459
172,2024-10-04,1016,Michael,Chennai,Tamil Nadu,Electronics,Keyboard,3,34946,104838
173,2025-07-15,1078,Michael,Delhi,Tamil Nadu,Accessories,Headphones,3,37496,112488
174,2024-07-01,1042,David,Delhi,Maharashtra,Electronics,Keyboard,9,28527,256743
175,2025-09-06,1019,Alice,Mumbai,Delhi,Accessories,Webcam,4,43144,172576
176,2024-11-07,1087,James,Bangalore,Telangana,Furniture,Chair,10,32120,321200
177,2024-04-01,1072,Olivia,Chennai,Tamil Nadu,Accessories,Webcam,7,10564,73948
178,2024-10-15,1013,David,Mumbai,Delhi,Electronics,Keyboard,2,41072,82144
179,2024-03-05,1045,Robert,Hyderabad,Karnataka,Furniture,Desk,1,17780,17780
180,2024-08-05,1072,James,Mumbai,Karnataka,Accessories,USB Cable,3,34612,103836
181,2024-11-07,1092,David,Bangalore,Maharashtra,Accessories,Webcam,7,1336,9352
182,2025-03-02,1054,Sophia,Chennai,Telangana,Accessories,Headphones,8,25916,207328
183,2024-08-09,1007,Sophia,Pune,Tamil Nadu,Accessories,Headphones,7,18590,130130
184,2024-06-09,1048,William,Mumbai,Tamil Nadu,Electronics,Laptop,4,1291,5164
185,2024-05-01,1058,David,Hyderabad,Karnataka,Electronics,Keyboard,7,34117,238819
186,2025-12-21,1094,Emma,Hyderabad,Karnataka,Accessories,Webcam,8,30024,240192
187,2024-01-22,1100,James,Chennai,Tamil Nadu,Accessories,Webcam,6,11255,67530
188,2024-06-15,1001,David,Mumbai,Telangana,Electronics,Keyboard,8,30619,244952
189,2025-08-08,1031,Alice,Pune,Telangana,Furniture,Chair,8,20181,161448
190,2024-10-04,1093,James,Bangalore,Delhi,Furniture,Chair,3,7146,21438
191,2025-10-08,1029,John,Chennai,Maharashtra,Electronics,Mouse,1,10254,10254
192,2025-10-26,1025,Alice,Delhi,Delhi,Electronics,Monitor,9,40648,365832
193,2025-10-16,1013,Michael,Delhi,Telangana,Electronics,Monitor,7,22154,155078
194,2025-10-29,1082,William,Pune,Karnataka,Electronics,Keyboard,7,39919,279433
195,2024-10-17,1021,Olivia,Hyderabad,Delhi,Electronics,Laptop,1,34974,34974
196,2024-11-26,1044,Robert,Bangalore,Telangana,Furniture,Desk,7,2887,20209
197,2024-05-22,1086,Emma,Hyderabad,Telangana,Electronics,Laptop,7,2511,17577
198,2025-02-14,1025,William,Hyderabad,Tamil Nadu,Electronics,Keyboard,1,45421,45421
199,2025-05-11,1094,Robert,Delhi,Delhi,Electronics,Keyboard,5,20742,103710
200,2025-02-15,1097,David,Bangalore,Maharashtra,Accessories,Webcam,10,22432,224320
201,2025-02-05,1095,Michael,Hyderabad,Tamil Nadu,Electronics,Laptop,4,37602,150408
202,2024-05-31,1099,Alice,Delhi,Telangana,Accessories,Headphones,5,35517,177585
203,2024-08-09,1016,Michael,Chennai,Delhi,Accessories,Webcam,7,34909,244363
204,2025-10-19,1001,Alice,Delhi,Karnataka,Furniture,Desk,6,11121,66726
205,2024-12-21,1054,Alice,Mumbai,Maharashtra,Furniture,Table,5,11930,59650
206,2024-01-04,1001,Robert,Hyderabad,Maharashtra,Accessories,USB Cable,7,31851,222957
207,2025-05-22,1073,Emma,Mumbai,Tamil Nadu,Furniture,Chair,1,11264,11264
208,2025-12-19,1074,Emma,Pune,Karnataka,Accessories,Headphones,6,7680,46080
209,2024-06-19,1085,John,Bangalore,Delhi,Electronics,Laptop,7,10560,73920
210,2024-09-23,1028,William,Mumbai,Telangana,Furniture,Desk,1,31157,31157
211,2025-08-06,1035,Michael,Hyderabad,Maharashtra,Furniture,Table,4,16482,65928
212,2024-11-10,1018,Emma,Mumbai,Maharashtra,Accessories,USB Cable,10,5998,59980
213,2025-04-19,1063,Olivia,Delhi,Delhi,Electronics,Keyboard,4,23982,95928
214,2025-05-04,1007,James,Delhi,Maharashtra,Furniture,Chair,2,25333,50666
215,2024-07-26,1044,David,Chennai,Delhi,Electronics,Laptop,5,5645,28225
216,2024-11-02,1026,Michael,Delhi,Karnataka,Furniture,Desk,1,14240,14240
217,2024-09-17,1048,William,Delhi,Karnataka,Electronics,Monitor,2,10383,20766
218,2025-08-24,1097,David,Chennai,Telangana,Furniture,Desk,8,37030,296240
219,2025-05-23,1096,Robert,Hyderabad,Maharashtra,Furniture,Table,8,37458,299664
220,2024-05-08,1090,William,Chennai,Tamil Nadu,Accessories,Webcam,9,15641,140769
221,2025-09-15,1043,Robert,Bangalore,Telangana,Electronics,Keyboard,9,8524,76716
222,2024-12-10,1100,David,Pune,Tamil Nadu,Electronics,Monitor,2,18993,37986
223,2025-08-18,1092,John,Mumbai,Telangana,Accessories,USB Cable,4,34459,137836
224,2025-03-16,1084,Sophia,Pune,Delhi,Accessories,USB Cable,4,44393,177572
225,2024-06-15,1041,Sophia,Delhi,Tamil Nadu,Furniture,Desk,8,42732,341856
226,2024-12-17,1023,William,Mumbai,Tamil Nadu,Furniture,Table,3,37123,111369
227,2024-11-30,1083,William,Delhi,Delhi,Electronics,Laptop,10,19868,198680
228,2024-04-21,1002,Olivia,Bangalore,Karnataka,Accessories,USB Cable,9,2837,25533
229,2025-11-22,1067,Emma,Delhi,Delhi,Furniture,Table,4,38016,152064
230,2025-08-19,1031,William,Hyderabad,Maharashtra,Furniture,Chair,3,1562,4686
231,2025-06-10,1073,Emma,Hyderabad,Delhi,Furniture,Table,2,29072,58144
232,2025-09-16,1051,James,Mumbai,Maharashtra,Electronics,Laptop,7,32593,228151
233,2024-09-15,1071,John,Pune,Tamil Nadu,Accessories,USB Cable,4,44104,176416
234,2024-09-17,1092,David,Mumbai,Telangana,Furniture,Chair,1,22664,22664
235,2025-04-18,1058,Emma,Bangalore,Tamil Nadu,Furniture,Chair,1,12546,12546
236,2024-02-19,1073,Emma,Bangalore,Delhi,Electronics,Keyboard,5,11962,59810
237,2024-12-03,1011,David,Mumbai,Delhi,Furniture,Table,3,42726,128178
238,2025-02-20,1025,Alice,Chennai,Karnataka,Electronics,Laptop,9,47312,425808
239,2025-12-26,1042,Emma,Hyderabad,Karnataka,Electronics,Keyboard,1,12752,12752
240,2025-04-07,1026,William,Delhi,Telangana,Accessories,USB Cable,8,5434,43472
241,2024-08-27,1011,Michael,Mumbai,Maharashtra,Electronics,Mouse,7,28303,198121
242,2025-10-12,1012,James,Chennai,Karnataka,Electronics,Laptop,10,28925,289250
243,2024-05-16,1024,Olivia,Mumbai,Delhi,Furniture,Chair,3,44164,132492
244,2024-05-21,1044,David,Delhi,Delhi,Accessories,Webcam,10,43514,435140
245,2024-01-15,1037,David,Pune,Tamil Nadu,Furniture,Chair,8,29163,233304
246,2025-01-06,1001,Alice,Pune,Karnataka,Electronics,Laptop,10,27099,270990
247,2025-04-11,1014,John,Delhi,Karnataka,Accessories,Headphones,5,27255,136275
248,2025-09-14,1045,Emma,Chennai,Karnataka,Furniture,Desk,5,44667,223335
249,2024-12-10,1090,William,Mumbai,Karnataka,Furniture,Table,8,13694,109552
250,2025-10-01,1100,Alice,Pune,Delhi,Accessories,Headphones,4,38757,155028
251,2025-12-12,1008,Emma,Hyderabad,Delhi,Accessories,USB Cable,8,38198,305584
252,2025-03-23,1026,Robert,Pune,Maharashtra,Furniture,Chair,6,36909,221454
253,2024-12-25,1001,Michael,Chennai,Tamil Nadu,Furniture,Desk,10,47612,476120
254,2025-03-05,1072,Robert,Chennai,Karnataka,Furniture,Table,10,19404,194040
255,2024-04-19,1002,Michael,Bangalore,Maharashtra,Furniture,Desk,10,35846,358460
256,2024-02-11,1011,Robert,Hyderabad,Karnataka,Accessories,Headphones,2,23567,47134
257,2025-12-19,1038,Olivia,Hyderabad,Delhi,Accessories,Headphones,10,28006,280060
258,2025-10-15,1030,William,Bangalore,Maharashtra,Electronics,Mouse,9,23899,215091
259,2025-06-26,1002,Michael,Hyderabad,Maharashtra,Accessories,USB Cable,8,38740,309920
260,2025-12-27,1018,Olivia,Hyderabad,Karnataka,Electronics,Mouse,6,3123,18738
261,2024-02-26,1073,Michael,Delhi,Karnataka,Electronics,Mouse,4,10113,40452
262,2025-09-02,1090,Sophia,Chennai,Karnataka,Accessories,Webcam,1,39825,39825
263,2025-04-07,1010,Michael,Bangalore,Delhi,Furniture,Desk,2,23902,47804
264,2025-05-24,1012,David,Pune,Telangana,Accessories,USB Cable,10,1622,16220
265,2025-04-14,1046,Emma,Mumbai,Tamil Nadu,Accessories,Headphones,1,3075,3075
266,2024-06-11,1071,Olivia,Hyderabad,Telangana,Accessories,USB Cable,9,39578,356202
267,2024-02-13,1005,William,Mumbai,Tamil Nadu,Furniture,Table,3,24850,74550
268,2024-06-02,1046,Sophia,Pune,Delhi,Furniture,Chair,5,31119,155595
269,2025-05-08,1019,Olivia,Mumbai,Maharashtra,Furniture,Chair,5,35129,175645
270,2025-05-17,1096,John,Mumbai,Karnataka,Furniture,Desk,4,21923,87692
271,2024-07-09,1071,Sophia,Hyderabad,Telangana,Furniture,Desk,9,14638,131742
272,2025-08-18,1001,David,Chennai,Maharashtra,Furniture,Table,10,6660,66600
273,2024-12-30,1100,Alice,Hyderabad,Telangana,Electronics,Mouse,1,37838,37838
274,2024-03-13,1033,Olivia,Hyderabad,Karnataka,Accessories,Webcam,8,25278,202224
275,2025-04-03,1032,James,Delhi,Telangana,Furniture,Table,1,4224,4224
276,2025-04-23,1029,Sophia,Mumbai,Karnataka,Furniture,Chair,7,28201,197407
277,2025-12-27,1037,Sophia,Delhi,Telangana,Electronics,Mouse,6,5836,35016
278,2025-04-23,1002,William,Chennai,Karnataka,Furniture,Table,5,25225,126125
279,2025-12-26,1087,Michael,Mumbai,Maharashtra,Electronics,Mouse,4,37758,151032
280,2025-12-16,1068,Olivia,Pune,Karnataka,Electronics,Mouse,6,38667,232002
281,2025-01-17,1015,Alice,Bangalore,Maharashtra,Electronics,Laptop,5,49324,246620
282,2024-09-20,1001,James,Bangalore,Maharashtra,Furniture,Table,8,29864,238912
283,2024-08-16,1094,William,Chennai,Maharashtra,Furniture,Desk,6,17120,102720
284,2025-06-15,1079,William,Bangalore,Maharashtra,Furniture,Desk,4,21009,84036
285,2024-08-11,1009,Alice,Mumbai,Tamil Nadu,Electronics,Keyboard,3,47137,141411
286,2025-02-07,1053,William,Delhi,Telangana,Furniture,Desk,5,26446,132230
287,2024-10-25,1081,Sophia,Bangalore,Maharashtra,Accessories,USB Cable,7,12091,84637
288,2025-12-20,1020,Emma,Chennai,Telangana,Furniture,Table,3,7939,23817
289,2025-04-18,1021,Alice,Hyderabad,Maharashtra,Electronics,Laptop,8,28189,225512
290,2024-07-03,1067,Olivia,Delhi,Tamil Nadu,Furniture,Chair,3,2176,6528
291,2025-05-08,1084,James,Hyderabad,Tamil Nadu,Furniture,Chair,10,12265,122650
292,2025-01-14,1078,Olivia,Hyderabad,Maharashtra,Accessories,Headphones,3,34760,104280
293,2024-05-30,1069,Sophia,Chennai,Maharashtra,Accessories,USB Cable,10,571,5710
294,2025-10-17,1061,William,Hyderabad,Delhi,Accessories,USB Cable,9,41521,373689
295,2025-03-05,1022,William,Chennai,Delhi,Furniture,Table,1,24295,24295
296,2025-12-22,1070,James,Chennai,Tamil Nadu,Furniture,Table,7,31194,218358
297,2025-08-10,1040,Olivia,Chennai,Tamil Nadu,Electronics,Laptop,5,19605,98025
298,2024-07-10,1088,Alice,Delhi,Maharashtra,Accessories,Headphones,4,18771,75084
299,2024-08-17,1060,Alice,Hyderabad,Karnataka,Electronics,Keyboard,6,44495,266970
300,2025-11-09,1056,David,Delhi,Delhi,Accessories,Webcam,7,7099,49693
301,2025-07-19,1100,John,Bangalore,Telangana,Furniture,Desk,9,34287,308583
302,2024-06-25,1015,Robert,Hyderabad,Delhi,Furniture,Desk,6,20837,125022
303,2024-02-02,1003,Alice,Chennai,Maharashtra,Accessories,USB Cable,4,19210,76840
304,2024-02-09,1090,Alice,Pune,Tamil Nadu,Electronics,Monitor,10,49016,490160
305,2024-06-11,1099,James,Pune,Karnataka,Furniture,Chair,4,12026,48104
306,2025-05-10,1004,Emma,Bangalore,Karnataka,Furniture,Desk,9,2810,25290
307,2025-02-21,1014,Emma,Pune,Karnataka,Accessories,Headphones,10,17293,172930
308,2024-08-28,1096,Alice,Hyderabad,Tamil Nadu,Electronics,Keyboard,4,24997,99988
309,2024-03-19,1096,James,Hyderabad,Telangana,Accessories,Webcam,10,14934,149340
